number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_scale_pos_weight,params_subsample,state
0,0.5072106308828079,2025-11-16 19:25:44.080782,2025-11-16 19:25:45.366837,0 days 00:00:01.286055,0.04252219811267577,0.677759268087091,1.841477336256709,6.8945514638280585,0.014600060221328006,7,2,548,1.559124927030667,0.6725948650210608,COMPLETE
1,0.5154182757084793,2025-11-16 19:25:45.368841,2025-11-16 19:25:45.632580,0 days 00:00:00.263739,0.14503415932591862,0.7868699881201431,4.346949985559769,0.024089009701521183,0.14155962478807438,2,5,497,0.5558963817952995,0.8932231251572473,COMPLETE
2,0.504084643073506,2025-11-16 19:25:45.633580,2025-11-16 19:25:46.156177,0 days 00:00:00.522597,0.003890973627223466,0.6850635337552116,1.433076975861018,3.2702384646665688,0.019972174741079866,8,7,653,1.354029416239853,0.8202593421556993,COMPLETE
3,0.5053224527124301,2025-11-16 19:25:46.158175,2025-11-16 19:25:46.688412,0 days 00:00:00.530237,0.0015869531911926397,0.8758277606911302,0.6570491583757282,4.298604590570228,0.1639628181624212,6,10,182,0.8657808827136602,0.5156157223650233,COMPLETE
4,0.5062006023827017,2025-11-16 19:25:46.689986,2025-11-16 19:25:47.072998,0 days 00:00:00.383012,0.516658674926969,0.4080069570081067,4.438155905756996,0.08177961170874451,0.14627961890158755,7,8,514,1.9489212446606332,0.9214512375067834,COMPLETE
5,0.5129667472180671,2025-11-16 19:25:47.074001,2025-11-16 19:25:47.823931,0 days 00:00:00.749930,0.010517281128479246,0.6873769805979255,4.313010794190083,0.004825229861610597,0.029185838219187108,7,1,540,0.964204106480169,0.5156373411403725,COMPLETE
6,0.5092953961205888,2025-11-16 19:25:47.825448,2025-11-16 19:25:47.880549,0 days 00:00:00.055101,0.4449296541381626,0.8831953424008359,4.162886446469451,0.9883407381262052,0.059606317758440934,2,10,207,0.5944293041231661,0.7003100280717531,PRUNED
7,0.5122933536563389,2025-11-16 19:25:47.882559,2025-11-16 19:25:48.175383,0 days 00:00:00.292824,0.0017568526061515928,0.6188330941179854,0.8935456051160406,0.5907929922783746,0.19139838968763495,3,3,567,0.7794323839149532,0.7118242102305464,COMPLETE
8,0.5176138531756321,2025-11-16 19:25:48.177382,2025-11-16 19:25:48.819874,0 days 00:00:00.642492,0.2105706671606685,0.4778168565349667,0.6418489275749473,0.006236723425999021,0.08344418224905696,6,8,766,0.6113416026749071,0.6921969541383981,COMPLETE
9,0.507094751470948,2025-11-16 19:25:48.820874,2025-11-16 19:25:50.031773,0 days 00:00:01.210899,5.454868641704937,0.7618696416833983,2.6333958783932654,0.0018022979841317449,0.0233622090172408,8,9,770,1.9829330739303095,0.6081379014081223,COMPLETE
